id_zcosmos,zpec,cc,alpha,delta,mag_sel,id_photzi25,fuv_photzi25,nuv_photzi25,u_photzi25,eu_photzi25,b_photzi25,eb_photzi25,v_photzi25,ev_photzi25,g_photzi25,eg_photzi25,r_photzi25,er_photzi25,i_photzi25,ei_photzi25,z_photzi25,ez_photzi25,j_photzi25,ej_photzi25,k_photzi25,ek_photzi25,ic_photzi25,efuv_photzi25,enuv_photzi25,eic_photzi25,flag_maskb_photzi25,flag_maskv_photzi25,flag_maski_photzi25,flag_maskz_photzi25,flag_maskd_photzi25
847316,0.3299,4.5,149.844543,2.672546,21.97,1728639,25.6846044397387,24.9376044397387,24.205,0.047,23.54,0.036,22.797,0.022,23.486,0.031,22.556,0.019,22.196,0.016,21.839,0.016,21.837,0.024,21.102,0.025,22.212,0.25,0.181,0.091,0,0,0,0,0
847317,0.0986,3.5,149.844498,2.698891,18.95,1724685,20.8306044397387,20.5446044397387,21.539,0.012,20.665,0.01,20.376,0.01,20.749,0.01,20.325,0.01,20.095,0.01,19.938,0.01,19.966,0.01,19.741,0.01,20.062,0.019,0.01,0.014,0,0,0,0,0
847322,0.4696,3.5,149.843872,2.765832,20.83,1714959,-99,-99,24.956,0.082,23.474,0.035,22.482,0.019,23.279,0.028,21.71,0.013,21.024,0.01,20.595,0.01,20.295,0.01,19.552,0.01,21.018,-99,-99,0.036,0,0,0,0,0
847325,0.7343,3.5,149.842529,2.701642,21.32,1724507,26.4506044397387,24.0976044397387,23.757,0.037,23.207,0.031,22.871,0.023,23.342,0.029,22.467,0.019,21.616,0.012,21.243,0.012,20.89,0.012,19.903,0.01,21.628,0.6,0.097,0.054,0,0,0,0,0
847326,0.3199,4.5,149.842468,2.660147,21.59,1730527,23.9376044397387,23.2536044397387,23.352,0.03,22.8,0.026,22.235,0.017,22.828,0.022,22.116,0.016,21.912,0.014,21.65,0.015,22.378,0.037,21.245,0.028,21.896,0.091,0.04,0.062,0,0,0,0,0
847329,0.5151,2.5,149.841736,2.736083,22.02,1719337,25.0516044397387,23.7186044397387,23.598,0.035,23.281,0.033,23.04,0.025,23.5,0.032,22.764,0.021,22.369,0.018,21.998,0.018,21.833,0.023,21.347,0.034,22.373,0.172,0.068,0.122,0,0,0,0,0
847330,0.2207,4.5,149.841217,2.668157,20.7,1729312,22.0076044397387,21.7546044397387,22.3,0.018,21.671,0.015,21.364,0.011,21.758,0.013,21.397,0.011,21.195,0.01,21.161,0.011,21.184,0.015,20.862,0.021,21.194,0.034,0.024,0.037,0,0,0,0,0
847332,1.0907,3.1,149.840897,2.705011,22.39,1724116,-99,-99,25.778,0.133,24.484,0.059,23.536,0.032,24.425,0.051,23.1,0.025,22.645,0.021,22.352,0.024,22.231,0.033,21.646,0.043,22.691,-99,-99,0.141,0,0,0,0,0
847333,0.2201,4.5,149.840454,2.665361,21.12,1729886,23.1636044397387,22.5806044397387,22.93,0.024,22.22,0.02,21.817,0.014,22.275,0.017,21.769,0.013,21.555,0.012,21.47,0.013,21.536,0.019,21.161,0.026,21.56,0.053,0.035,0.051,0,0,0,0,0
847335,0.514,2.5,149.839813,2.730436,21.68,1720324,25.7496044397387,24.3006044397387,24.25,0.05,23.572,0.037,23.046,0.025,23.71,0.035,22.571,0.02,22.087,0.016,21.767,0.016,21.521,0.018,20.584,0.017,22.072,0.31,0.121,0.095,0,0,0,0,0
847340,0.3302,3.5,149.838898,2.671616,22.38,1727299,25.5156044397387,25.0196044397387,24.755,0.065,24.014,0.047,23.258,0.028,23.923,0.039,22.987,0.025,22.602,0.021,22.241,0.022,22.788,0.052,21.505,0.036,22.633,0.242,0.258,0.134,0,0,0,0,0
