ds_spectra.NUM,ds_spectra.ID_IAU,ds_spectra.ALPHA,ds_spectra.DELTA,ds_spectra.Z,ds_spectra.ZFLAGS,ds_spectra.MAGI,ds_cfh12k.MAG_AUTO_U,ds_cfh12k.MAGERR_AUTO_U,ds_cfh12k.MAG_AUTO_B,ds_cfh12k.MAGERR_AUTO_B,ds_cfh12k.MAG_AUTO_V,ds_cfh12k.MAGERR_AUTO_V,ds_cfh12k.MAG_AUTO_R,ds_cfh12k.MAGERR_AUTO_R,ds_cfh12k.MAG_AUTO_I,ds_cfh12k.MAGERR_AUTO_I
140452375,VVDS-J135658.24+051450.3,209.242704,5.2473078,0.3941,4,20.926,-99.9,-99.9,-99,-99,-99,-99,20.866405,0.012413,20.926,0.035
140452454,VVDS-J140246.15+051451.3,210.692314,5.2475949,0.2428,3,20.345,-99.9,-99.9,-99,-99,-99,-99,20.467132,0.00977,20.345,0.0111
140452480,VVDS-J135821.82+051459.8,209.590941,5.2499697,0.0000,3,21.1893,-99.9,-99.9,23.910992,0.084665,22.678747,0.045972,21.715196,0.017897,21.1893,0.0162
140452613,VVDS-J140300.90+051457.9,210.753776,5.249443,0.1797,4,21.9117,-99.9,-99.9,-99,-99,-99,-99,21.903717,0.021535,21.9117,0.0325
140452688,VVDS-J135922.98+051455.4,209.845778,5.2487488,0.2747,3,19.7116,-99.9,-99.9,22.113111,0.027809,20.657951,0.008768,20.03482,0.01012,19.7116,0.0075
140452722,VVDS-J140327.32+051457.2,210.863874,5.249223,0.0000,4,20.1348,-99.9,-99.9,-99,-99,-99,-99,19.973222,0.006513,20.1348,0.0076
140452801,VVDS-J140329.65+051453.9,210.873563,5.2483236,0.0000,4,20.7386,-99.9,-99.9,-99,-99,-99,-99,21.559078,0.015257,20.7386,0.011
140452821,VVDS-J135931.41+051502.6,209.880911,5.2507229,0.6456,3,22.1809,-99.9,-99.9,24.015137,0.100543,23.462482,0.062404,99.99,99.99,22.1809,0.0333
140453148,VVDS-J140229.90+051504.2,210.624584,5.2511789,0.7200,3,21.767,-99.9,-99.9,99.99,99.99,22.957838,0.049616,22.113004,0.020408,21.7665,0.0206
140453369,VVDS-J135924.52+051506.5,209.852168,5.251815,0.2740,3,20.9559,-99.9,-99.9,22.19487,0.032454,21.253199,0.01275,21.018568,0.018454,20.9559,0.0166
140453370,VVDS-J135857.02+051459.7,209.737612,5.2499434,0.0000,4,17.6677,-99.9,-99.9,17.949783,0.0037,17.472105,0.001875,17.257328,0.002458,17.6677,0.0026
140453381,VVDS-J135551.82+051457.7,208.965952,5.2493788,0.6217,3,19.8289,-99.9,-99.9,-99,-99,-99,-99,-99,-99,19.8289,0.0125
140453474,VVDS-J135639.79+051505.0,209.165806,5.2513911,0.6171,4,20.458,-99.9,-99.9,-99,-99,-99,-99,21.160856,0.014466,20.458,0.0146
140453518,VVDS-J140159.38+051527.3,210.497423,5.2575921,0.7037,4,20.113,-99.9,-99.9,21.937971,0.034491,21.348,0.02123,20.704691,0.008431,20.1129,0.0176
140453667,VVDS-J140032.42+051513.9,210.135116,5.2538712,0.7819,3,22.3533,-99.9,-99.9,25.039722,0.173147,24.193819,0.10185,23.231054,0.055944,22.3533,0.0668
140453734,VVDS-J140027.74+051507.2,210.115599,5.252015,0.7253,4,20.285,-99.9,-99.9,22.687666,0.035416,21.849621,0.023958,20.908374,0.009581,20.285,0.0159
140453739,VVDS-J140155.35+051507.1,210.480641,5.2519987,0.4294,3,20.609,-99.9,-99.9,22.905952,0.052104,21.616447,0.023392,20.78955,0.009461,20.6088,0.0192
140453829,VVDS-J135736.50+051515.2,209.40209,5.2542462,0.3094,4,22.4101,-99.9,-99.9,-99,-99,22.379566,0.029432,22.167234,0.026484,22.4101,0.0529
140453923,VVDS-J135730.06+051514.8,209.375257,5.2541365,0.0000,4,21.8156,-99.9,-99.9,-99,-99,-99,-99,23.207126,0.041818,21.8156,0.026
140453934,VVDS-J135640.42+051513.6,209.168442,5.2537923,0.6172,4,22.4437,-99.9,-99.9,-99,-99,-99,-99,22.477562,0.037553,22.4437,0.0653
140453941,VVDS-J140242.37+051511.4,210.676546,5.253181,0.0000,4,21.3882,-99.9,-99.9,-99,-99,-99,-99,22.267238,0.032687,21.3882,0.0179
140453965,VVDS-J140021.11+051514.2,210.087968,5.2539474,0.3395,4,20.8482,-99.9,-99.9,22.568657,0.031231,21.490076,0.018459,21.06093,0.009526,20.8482,0.0195
140454034,VVDS-J140026.06+051513.9,210.108596,5.2538805,0.6061,4,21.1865,-99.9,-99.9,22.726297,0.039372,22.227793,0.030407,21.554399,0.01328,21.1865,0.0283
140454075,VVDS-J135904.38+051512.0,209.768262,5.2533599,0.4266,3,20.5187,-99.9,-99.9,23.506737,0.096468,21.99102,0.023967,20.853864,0.017064,20.5187,0.0119
140454280,VVDS-J140233.75+051513.8,210.640653,5.253838,0.0000,4,19.542,-99.9,-99.9,22.96483,0.034212,21.506996,0.016241,20.668251,0.006466,19.542,0.0073
140454410,VVDS-J140201.81+051516.7,210.50758,5.2546479,0.0000,4,20.351,-99.9,-99.9,20.733204,0.012812,20.342634,0.008775,20.296514,0.005364,20.351,0.0137
140454648,VVDS-J140227.07+051521.5,210.612813,5.2559923,0.2591,4,21.828,-99.9,-99.9,23.039623,0.040166,22.111563,0.024509,21.886344,0.013435,21.8281,0.0189
140454803,VVDS-J135626.88+051523.3,209.112029,5.2564959,0.0000,4,21.704,-99.9,-99.9,-99,-99,-99,-99,23.549009,0.053761,21.704,0.028
140454813,VVDS-J135632.01+051522.3,209.133397,5.2562182,0.6555,3,21.857,-99.9,-99.9,-99,-99,-99,-99,22.767566,0.035693,21.857,0.0436
140454866,VVDS-J135823.69+051524.2,209.598725,5.256728,0.0000,4,20.5134,-99.9,-99.9,24.427824,0.10344,22.681099,0.027593,21.758119,0.016845,20.5134,0.0105
140455180,VVDS-J140255.28+051525.4,210.730375,5.2570767,0.4498,3,21.9803,-99.9,-99.9,-99,-99,-99,-99,21.969968,0.023456,21.9803,0.0339
140455257,VVDS-J140321.47+051525.1,210.839497,5.256977,0.0000,3,20.8147,-99.9,-99.9,-99,-99,-99,-99,20.749225,0.009675,20.8147,0.0115
140455378,VVDS-J135902.15+051526.2,209.758978,5.257304,0.0000,3,19.2732,-99.9,-99.9,20.338661,0.011372,19.617578,0.005193,19.243272,0.006347,19.2732,0.0056
140455478,VVDS-J135951.63+051524.4,209.965145,5.2567823,0.7660,3,20.2606,-99.9,-99.9,23.401771,0.065038,21.942066,0.024606,21.133478,0.011861,20.2606,0.0106
