ds_spectra.NUM,ds_spectra.ID_IAU,ds_spectra.ALPHA,ds_spectra.DELTA,ds_spectra.Z,ds_spectra.ZFLAGS,ds_spectra.MAGI,ds_cfh12k.MAG_AUTO_U,ds_cfh12k.MAGERR_AUTO_U,ds_cfh12k.MAG_AUTO_B,ds_cfh12k.MAGERR_AUTO_B,ds_cfh12k.MAG_AUTO_V,ds_cfh12k.MAGERR_AUTO_V,ds_cfh12k.MAG_AUTO_R,ds_cfh12k.MAGERR_AUTO_R,ds_cfh12k.MAG_AUTO_I,ds_cfh12k.MAGERR_AUTO_I,MAG_AUTO_U,MAGERR_AUTO_U,MAG_AUTO_G,MAGERR_AUTO_G,MAG_AUTO_R,MAGERR_AUTO_R,MAG_AUTO_I,MAGERR_AUTO_I,MAG_AUTO_Z,MAGERR_AUTO_Z
020089294,VVDS-J022539.22-044901.3,36.4134474,-4.8170532,0.7971,4,20.9662,-99.9,-99.9,24.837,0.1336,23.3068,0.0505,22.2019,0.0255,20.9662,0.0169,24.909817,0.052000,23.781242,0.012800,22.316773,0.010000,21.071858,0.010000,20.544143,0.010000
020089309,VVDS-J022735.97-044851.4,36.8998937,-4.8142833,0.6398,24,21.2497,-99.9,-99.9,25.2355,0.1833,23.3332,0.0508,22.2811,0.0291,21.2497,0.0164,25.447118,0.064400,23.867505,0.010700,22.433574,0.010000,21.376618,0.010000,20.967815,0.010000
020089322,VVDS-J022708.40-044852.0,36.7850119,-4.8144498,0.9631,3,21.7606,-99.9,-99.9,25.6668,0.295,24.0427,0.0944,23.0723,0.0541,21.7606,0.0261,25.334311,0.075600,24.468815,0.024300,23.091226,0.010000,21.952998,0.010000,21.239574,0.010000
020089326,VVDS-J022715.87-044849.2,36.8161618,-4.8136788,0.9140,3,23.1129,-99.9,-99.9,24.4094,0.0977,23.9887,0.0765,23.7821,0.0769,23.1129,0.0606,24.338435,0.019000,24.078664,0.010900,23.862890,0.011800,23.113787,0.010000,22.946517,0.017200
020089358,VVDS-J022607.12-044849.6,36.5296883,-4.8137849,1.1834,3,23.1834,-99.9,-99.9,23.8673,0.0724,23.5849,0.06,23.7755,0.0751,23.1834,0.0572,23.973011,0.014300,23.590615,0.010000,23.502726,0.010000,23.234898,0.010000,23.012774,0.017400
020089474,VVDS-J022549.94-044846.7,36.4580846,-4.8129809,0.8188,3,23.8675,-99.9,-99.9,25.807,0.2189,25.2888,0.1565,24.7231,0.1225,23.8675,0.1151,25.598499,0.054000,25.237690,0.026200,24.848144,0.024100,24.098253,0.016600,23.907552,0.034000
020089529,VVDS-J022735.72-044851.5,36.8988608,-4.8143142,1.5600,4,22.4153,-99.9,-99.9,23.6689,0.0662,23.2932,0.0514,22.9992,0.0482,22.4153,0.0395,23.828913,0.016600,23.258778,0.010000,22.910628,0.010000,22.479557,0.010000,22.163845,0.011300
020089561,VVDS-J022643.40-044850.3,36.6808567,-4.8139868,0.9690,3,22.0426,-99.9,-99.9,23.2325,0.0529,22.9557,0.0455,22.8312,0.0468,22.0426,0.0321,23.363156,0.010800,23.027164,0.010000,22.771229,0.010000,22.186747,0.010000,22.020411,0.010200
020089640,VVDS-J022717.16-044846.4,36.8215194,-4.8129046,1.1777,3,22.6248,-99.9,-99.9,24.7175,0.1158,24.2952,0.093,23.6947,0.0706,22.6248,0.0406,24.831859,0.031000,24.336075,0.014300,23.713476,0.010700,22.851629,0.010000,22.071095,0.010000
020089839,VVDS-J022605.07-044845.7,36.521148,-4.8127202,0.9520,3,22.9179,-99.9,-99.9,23.8085,0.0603,23.6481,0.0509,23.2133,0.0417,22.9179,0.0601,24.120111,0.017600,23.710515,0.010000,23.455726,0.010000,22.897798,0.010000,22.599274,0.012900
